state,code,procedure,n_hospitals,median_price,lowest_price,highest_price,shoppable_volume,total_volume,conservative_per_patient,conservative_total,aspirational_per_patient,aspirational_total
RI,47562,Lap. cholecystectomy,2,4484.0,4389.0,4579.0,17,44,95.0,1668.0,190.0,8342.0
RI,70553,Brain MRI w/ contrast,2,839.0,738.0,941.0,2277,3254,101.0,231154.0,203.0,660439.0
RI,74177,CT scan abdomen,2,517.0,433.0,601.0,13241,18917,84.0,1116155.0,169.0,3189014.0
SC,70553,Brain MRI w/ contrast,2,884.0,1281.0,488.0,13262,18947,0.0,0.0,0.0,0.0
SC,74177,CT scan abdomen,2,596.0,757.0,436.0,43645,62351,0.0,0.0,0.0,0.0
SD,27130,Hip replacement,6,22407.0,38915.0,4975.0,774,968,0.0,0.0,0.0,0.0
SD,27447,Knee replacement,4,10514.0,15420.0,4115.0,822,968,0.0,0.0,0.0,0.0
SD,29827,Shoulder arthroscopy,8,12417.0,11997.0,3252.0,348,581,420.0,146399.0,0.0,0.0
SD,43239,Upper GI endoscopy,22,2284.0,865.0,1967.0,3112,5188,1419.0,4417873.0,1102.0,5719551.0
SD,45378,"Colonoscopy, diagnostic",21,2167.0,1197.0,2167.0,800,1067,971.0,776797.0,971.0,1035729.0
SD,47562,Lap. cholecystectomy,12,11110.0,9918.0,12499.0,55,139,1192.0,66293.0,2581.0,358739.0
SD,70553,Brain MRI w/ contrast,30,4551.0,1531.0,4802.0,2221,3174,3020.0,6710145.0,3271.0,10382963.0
SD,74177,CT scan abdomen,31,5051.0,2728.0,8183.0,7918,11312,2324.0,18398422.0,5456.0,61715573.0
TN,27130,Hip replacement,3,11106.0,12187.0,11106.0,1128,1411,0.0,0.0,0.0,0.0
TN,27447,Knee replacement,3,11287.0,11287.0,11702.0,1199,1411,0.0,0.0,416.0,586776.0
TN,29827,Shoulder arthroscopy,3,7110.0,9418.0,7110.0,1340,2234,0.0,0.0,0.0,0.0
TN,43239,Upper GI endoscopy,4,2361.0,1475.0,2987.0,20160,33600,886.0,17866711.0,1512.0,50800178.0
TN,45378,"Colonoscopy, diagnostic",4,1836.0,1026.0,2673.0,5723,7631,810.0,4636721.0,1647.0,12567878.0
TN,47562,Lap. cholecystectomy,4,4345.0,4717.0,6766.0,146,366,0.0,0.0,2049.0,750040.0
